Date,Team,Opp,Shots/90,OppShotsA/90,SoT/90,Opp_SoTA/90,Win_Odds,CS_Odds,Odds_GF,OddsShark_GF,FiveThirtyEight_Odds,Opp_Odds,Opp_CS_Odds,Opp_Odds_INV,Opp_CS_Odds_INV,Opp_FiveThirtyEight_Odds,Opp_FiveThirtyEight_Odds_INV,Real_SoT,Real_Shots,Real_Goals,SoT%
11/8/20,Tottenham,West Brom,,,,,65.22,44.44,2,2.5,61,14.29,15.38,85.71,84.62,17,83,5,19,1,0.263
11/8/20,Leicester,Wolves,,,,,41.18,38.1,1.39,1.6,52,29.41,29.41,70.59,70.59,21,79,1,8,1,0.125
11/8/20,Wolves,Leicester,,,,,29.41,29.41,1.14,0.9,21,41.18,38.1,58.82,61.9,52,48,2,7,0,0.286
11/8/20,Man City,Liverpool,,,,,48,26.67,1.42,2.2,53,28.21,16.67,71.79,83.33,25,75,2,6,1,0.333
11/8/20,Liverpool,Man City,,,,,28.21,16.67,1.54,1.1,25,48,26.67,52,73.33,53,47,2,9,1,0.222
11/8/20,Arsenal,Aston Villa,,,,,57.14,38.1,1.86,2.3,56,19.61,16.67,80.39,83.33,21,79,2,13,0,0.154
11/8/20,Aston Villa,Arsenal,,,,,19.61,16.67,1.19,0.4,21,57.14,38.1,42.86,61.9,56,44,5,17,3,0.294
11/21/20,Newcastle,Chelsea,,,,,14.29,15.38,1.07,0.5,17,66.23,44.44,33.77,55.56,62,38,1,8,0,0.125
11/21/20,Chelsea,Newcastle,,,,,66.23,44.44,2.05,2.4,62,14.29,15.38,85.71,84.62,17,83,3,14,2,0.214
11/21/20,Aston Villa,Brighton,,,,,43.48,29.41,1.7,2,46,30.3,23.09,69.7,76.91,29,71,4,15,1,0.267
11/21/20,Brighton,Aston Villa,,,,,30.3,23.09,1.43,0.8,29,43.48,29.41,56.52,70.59,46,54,3,7,2,0.429
11/21/20,Tottenham,Man City,,,,,23.53,16.67,1.33,1,24,53.48,30.77,46.52,69.23,53,47,2,4,2,0.5
11/21/20,Man City,Tottenham,,,,,53.48,30.77,1.86,2.1,53,23.53,16.67,76.47,83.33,24,76,5,21,0,0.238
11/21/20,Man United,West Brom,,,,,72.99,52.63,2.22,3,77,10,11.11,90,88.89,7,93,6,16,1,0.375
11/21/20,West Brom,Man United,,,,,10,11.11,0.87,0,7,72.99,52.63,27.01,47.37,77,23,2,7,0,0.286
11/22/20,Fulham,Everton,,,,,25,20,1.28,0.6,31,51.28,33.33,48.72,66.67,43,57,6,13,2,0.462
11/22/20,Everton,Fulham,,,,,51.28,33.33,1.79,2.2,43,25,20,75,80,31,69,7,9,3,0.778
11/22/20,Sheffield United,West Ham,,,,,31.25,28.57,1.24,1.1,35,38.46,36.36,61.54,63.64,37,63,5,9,0,0.556
11/22/20,West Ham,Sheffield United,,,,,38.46,36.36,1.42,1.6,37,31.25,28.57,68.75,71.43,35,65,3,15,1,0.2
11/22/20,Leeds,Arsenal,,,,,30.96,22.22,1.46,0.8,28,45.25,28.57,54.75,71.43,47,53,4,25,0,0.16
11/22/20,Arsenal,Leeds,,,,,45.25,28.57,1.7,2,47,30.96,22.22,69.04,77.78,28,72,2,9,0,0.222
11/22/20,Liverpool,Leicester,,,,,50.76,29.41,1.86,2.3,58,17.24,18.18,82.76,81.82,21,79,12,24,3,0.5
11/22/20,Leicester,Liverpool,,,,,17.24,18.18,1.39,0.7,21,50.76,29.41,49.24,70.59,58,42,4,11,0,0.364
11/22/20,Burnley,Crystal Palace,,,,,35.09,36.36,1.24,1.6,43,34.72,36.36,65.28,63.64,28,72,5,10,1,0.5
11/23/20,Crystal Palace,Burnley,,,,,34.72,36.36,1.24,0.9,28,35.09,36.36,64.91,63.64,43,57,5,15,0,0.333
11/23/20,Wolves,Southampton,,,,,42.02,38.17,1.42,1.7,42,29.85,28.57,70.15,71.43,30,70,9,20,1,0.45
11/23/20,Southampton,Wolves,,,,,29.85,28.57,1.2,0.9,30,42.02,38.17,57.98,61.83,42,58,2,7,1,0.286
11/27/20,Crystal Palace,Newcastle,,,,,41.67,38.17,1.43,1.8,44,27.78,29.41,72.22,70.59,28,72,,,,
11/27/20,Newcastle,Crystal Palace,,,,,27.78,29.41,1.16,0.8,28,41.67,38.17,58.33,61.83,44,56,,,,
11/28/20,Brighton,Liverpool,,,,,16.67,14.29,1.21,0.3,18,60.24,38.17,39.76,61.83,62,38,,,,
11/28/20,Liverpool,Brighton,,,,,60.24,38.17,2.05,2.5,62,16.67,14.29,83.33,85.71,18,82,,,,
11/28/20,Man City,Burnley,,,,,84.75,60.24,2.48,3.6,84,4.76,7.69,95.24,92.31,4,96,,,,
11/28/20,Burnley,Man City,,,,,4.76,7.69,0.71,0,4,84.75,60.24,15.25,39.76,84,16,,,,
11/28/20,Everton,Leeds,,,,,48.54,29.41,1.83,2,51,25.64,18.18,74.36,81.82,25,75,,,,
11/28/20,Leeds,Everton,,,,,25.64,18.18,1.63,0.8,25,48.54,29.41,51.46,70.59,51,49,,,,
11/28/20,West Brom,Sheffield United,,,,,37.04,36.36,1.33,1.2,35,33.33,30.77,66.67,69.23,35,65,,,,
11/28/20,Sheffield United,West Brom,,,,,33.33,30.77,1.24,1.2,35,37.04,36.36,62.96,63.64,35,65,,,,
11/29/20,Southampton,Man United,,,,,24.39,22.22,1.24,0.8,28,49.75,36.36,50.25,63.64,48,52,,,,
11/29/20,Man United,Southampton,,,,,49.75,36.36,1.74,2,48,24.39,22.22,75.61,77.78,28,72,,,,
11/29/20,Chelsea,Tottenham,,,,,46.3,30.77,1.74,1.7,47,27.03,22.22,72.97,77.78,29,71,,,,
11/29/20,Tottenham,Chelsea,,,,,27.03,22.22,1.36,0.9,29,46.3,30.77,53.7,69.23,47,53,,,,
11/29/20,Arsenal,Wolves,,,,,45.87,42.19,1.48,2,48,25.58,26.67,74.42,73.33,23,77,,,,
11/29/20,Wolves,Arsenal,,,,,25.58,26.67,1.09,0.6,23,45.87,42.19,54.13,57.81,48,52,,,,
11/30/20,Leicester,Fulham,,,,,63.29,44.44,2.01,2.5,64,14.29,15.38,85.71,84.62,15,85,,,,
11/30/20,Fulham,Leicester,,,,,14.29,15.38,1.05,0.2,15,63.29,44.44,36.71,55.56,64,36,,,,
11/30/20,West Ham,Aston Villa,,,,,42.02,28.57,1.7,1.8,45,31.75,23.09,68.25,76.91,30,70,,,,
11/30/20,Aston Villa,West Ham,,,,,31.75,23.09,1.46,1,30,42.02,28.57,57.98,71.43,45,55,,,,
