Date,Team,Opp,VOID,GameId,HorA,Win_Odds,CS_Odds,Odds_GF,Pinn_Odds,Pinn_CS,Pinn_Goals,bet365_CS,skybet_CS,PaddyPower_CS,WilliamHill_CS,888sport_CS,betfair_CS,BetVictor_CS,UniBet_CS,MansionBet_CS,BetFred_CS,SBK_CS,BetWay_CS,BoyleSports_CS,10bet_CS,SportNation_CS,novibet_CS,VBet_CS,SportingIndex_CS,GentingBet_CS,RedZone_CS,SpreadEx_CS,bet365_Goals,skybet_Goals,PaddyPower_Goals,WilliamHill_Goals,888sport_Goals,betfair_Goals,BetVictor_Goals,UniBet_Goals,MansionBet_Goals,BetFred_Goals,SBK_Goals,BetWay_Goals,BoyleSports_Goals,10bet_Goals,SportNation_Goals,novibet_Goals,VBet_Goals,SportingIndex_Goals,GentingBet_Goals,RedZone_Goals,SpreadEx_Goals,OddsShark_GF,FiveThirtyEight_Odds,FiveThirtyEight_Goals,FiveThirtyEight_SPI,FiveThirtyEight_Importance,GamesPlayed,xG,xA,PSxG,PSxG/SoT,Sh,SoT,KP,Fls,Fld,Crs,Int,TklW,xG_A,xA_A,PSxG_A,PSxG/SoT_A,Sh_A,SoT_A,KP_A,Fls_A,Fld_A,Crs_A,Int_A,TklW_A,MatchReport_URL,Real_Sh,Real_SoT,Real_KP,Real_Fls,Real_Fld,Real_Crs,Real_Int,Real_TklW,Real_Goals,SoT%,Real_Chances,Real_xPTS,game_xG,game_xA,game_PSxG,game_PSxG/SoT,game_KP
8/22/21,Real Sociedad,Rayo Vallecano,void,5,H,66.03773585,49.13841084,1.932986852,,,,50.0,47.61904762,,51.28205128,,,,,,,,,,,,,49.39759036,47.39336493,,,,1.927884615,0.923076923,,0.9375,,,,,,,,,,,,,0.962580645,0.913892078,,,,2.4,65.81,1.99,78.21,52.1,1,0.8,0.6,1.5,0.49,11,3,6,18,11,4,17,12,2.7,2.4,3.4,0.43,13,8,12,11,17,7,15,10,https://fbref.com/en/matches/d071d7bb/Real-Sociedad-Rayo-Vallecano-August-22-2021-La-Liga,12.0,7.0,10.0,19.0,15.0,17.0,9.0,10.0,1.0,0.583333333,,,,,,,
8/22/21,Rayo Vallecano,Real Sociedad,void,5,A,12.5,16.02178523,0.916018472,,,,16.66666667,14.28571429,,16.66666667,,,,,,,,,,,,,17.10526316,15.38461538,,,,0.909803922,0.733333333,,0.741496599,,,,,,,,,,,,,0.759968102,0.729608051,,,,0.2,12.66,0.74,59.47,36.6,1,0.3,0.3,0.6,0.19,4,3,2,7,14,4,17,7,3.5,2.6,3.4,0.44,20,7,17,14,7,11,5,7,https://fbref.com/en/matches/d071d7bb/Real-Sociedad-Rayo-Vallecano-August-22-2021-La-Liga,9.0,1.0,5.0,16.0,18.0,13.0,12.0,10.0,0.0,0.111111111,,,,,,,
8/22/21,Atlético Madrid,Elche,void,6,H,81.25,69.80995475,2.22408299,,,,69.23076923,69.23076923,,73.33333333,,,,,,,,,,,,,70.58823529,66.66666667,,,,2.215384615,0.838095238,,0.89527027,,,,,,,,,,,,,0.928061224,0.91027027,,,,2.9,75.39,2.18,84.94,60.9,1,1.4,1.0,1.8,0.46,13,4,10,9,11,5,9,5,2.1,1.1,1.0,0.11,9,1,5,11,8,14,15,13,https://fbref.com/en/matches/80604449/Atletico-Madrid-Elche-August-22-2021-La-Liga,8.0,4.0,7.0,16.0,10.0,5.0,15.0,15.0,1.0,0.5,,,,,,,
8/22/21,Elche,Atlético Madrid,void,6,A,4.761904762,12.37716035,0.52861991,,,,12.5,11.76470588,,11.76470588,,,,,,,,,,,,,14.49275362,11.36363636,,,,0.546003017,0.461538462,,0.466346154,,,,,,,,,,,,,0.467571644,0.466346154,,,,0.0,6.9,0.49,59.11,36.0,1,0.9,0.8,0.1,0.07,8,2,6,13,18,15,7,6,0.6,0.5,0.1,0.02,9,3,6,19,13,13,8,8,https://fbref.com/en/matches/80604449/Atletico-Madrid-Elche-August-22-2021-La-Liga,4.0,2.0,3.0,11.0,16.0,8.0,17.0,7.0,0.0,0.5,,,,,,,
8/22/21,Levante,Real Madrid,void,7,H,18.18181818,15.62962837,1.157701394,,,,15.38461538,14.28571429,,16.66666667,,,,,,,,,,,,,17.10526316,14.70588235,,,,1.144444444,0.844444444,,0.878205128,,,,,,,,,,,,,0.880143113,0.841269841,,,,0.5,15.83,0.95,63.45,27.7,1,1.0,0.3,0.9,0.3,12,3,5,16,9,14,11,6,0.4,0.2,0.5,0.27,8,2,5,10,15,11,9,12,https://fbref.com/en/matches/5873d86e/Levante-Real-Madrid-August-22-2021-La-Liga,9.0,4.0,8.0,18.0,6.0,9.0,14.0,14.0,3.0,0.444444444,,,,,,,
8/22/21,Real Madrid,Levante,void,7,A,60.71428571,38.06722689,2.020336698,,,,38.0952381,38.0952381,,38.0952381,,,,,,,,,,,,,39.28571429,36.76470588,,,,2.013986014,0.923076923,,0.932692308,,,,,,,,,,,,,0.953436807,0.914855072,,,,2.2,62.9,2.11,87.05,52.9,1,1.8,1.5,2.5,0.35,20,7,13,10,14,13,26,12,1.7,0.5,1.0,0.02,10,3,7,14,9,16,14,7,https://fbref.com/en/matches/5873d86e/Levante-Real-Madrid-August-22-2021-La-Liga,20.0,5.0,14.0,7.0,17.0,16.0,22.0,8.0,3.0,0.25,,,,,,,
8/23/21,Getafe,Sevilla,void,8,H,27.77777778,31.6602357,1.09559277,,,,30.76923077,30.76923077,,32.25806452,,,,,,,,,,,,,32.75862069,31.74603175,,,,1.110446571,0.821052632,,0.816666667,,,,,,,,,,,,,0.838888889,0.8,,,,0.7,28.16,0.98,71.33,26.6,1,1.2,0.5,1.2,0.31,21,4,12,15,24,21,9,4,1.4,0.3,1.0,0.15,3,1,1,24,15,6,8,6,https://fbref.com/en/matches/8b28af73/Getafe-Sevilla-August-23-2021-La-Liga,12.0,0.0,8.0,18.0,13.0,10.0,17.0,8.0,0.0,0.0,,,,,,,
8/23/21,Sevilla,Getafe,void,8,A,43.18181818,41.89180591,1.372008365,,,,42.10526316,40.0,,43.47826087,,,,,,,,,,,,,42.55319149,41.32231405,,,,1.361538462,0.9,,0.920983778,,,,,,,,,,,,,0.940740741,0.890625,,,,1.7,41.74,1.26,80.14,57.5,1,3.5,2.6,3.4,0.44,20,7,17,14,7,11,5,7,0.3,0.3,0.6,0.19,4,3,2,7,14,4,17,7,https://fbref.com/en/matches/8b28af73/Getafe-Sevilla-August-23-2021-La-Liga,9.0,3.0,7.0,13.0,17.0,6.0,18.0,9.0,1.0,0.333333333,,,,,,,
8/23/21,Osasuna,Celta Vigo,void,9,H,37.25490196,33.07247115,1.386024942,,,,33.33333333,30.76923077,,35.71428571,,,,,,,,,,,,,32.75862069,32.78688525,,,,1.361538462,0.933333333,,0.934479055,,,,,,,,,,,,,0.950524109,0.904095904,,,,1.5,37.96,1.34,65.38,27.9,1,1.0,0.5,0.0,0.01,15,1,9,18,11,28,7,9,0.7,0.6,0.2,0.06,10,3,7,12,18,10,7,9,https://fbref.com/en/matches/f686af39/Osasuna-Celta-Vigo-August-23-2021-La-Liga,14.0,6.0,12.0,21.0,8.0,18.0,23.0,15.0,0.0,0.428571429,,,,,,,
8/23/21,Celta Vigo,Osasuna,void,9,A,33.92857143,30.61344144,1.335002885,,,,30.76923077,28.57142857,,31.25,,,,,,,,,,,,,31.70731707,30.76923077,,,,1.328571429,0.921052632,,0.892857143,,,,,,,,,,,,,0.939817629,0.878429878,,,,1.1,34.18,1.26,69.34,23.3,1,2.1,1.1,1.0,0.11,9,1,5,11,8,14,15,13,1.4,1.0,1.8,0.46,13,4,10,9,11,5,9,5,https://fbref.com/en/matches/f686af39/Osasuna-Celta-Vigo-August-23-2021-La-Liga,4.0,0.0,3.0,8.0,21.0,10.0,16.0,12.0,0.0,0.0,,,,,,,
