Date,Team,Opp,Shots/90,OppShotsA/90,SoT/90,Opp_SoTA/90,Win_Odds,CS_Odds,Odds_GF,OddsShark_GF,FiveThirtyEight_Odds,Opp_Odds,Opp_CS_Odds,Opp_Odds_INV,Opp_CS_Odds_INV,Opp_FiveThirtyEight_Odds,Opp_FiveThirtyEight_Odds_INV,Real_SoT,Real_Shots,Real_Goals,SoT%
11/8/20,Lazio,Juventus,,,,,23.81,18.18,1.36,1,26,50.63,30.77,49.37,69.23,51,49,3,14,1,0.214
11/8/20,Juventus,Lazio,,,,,50.63,30.77,1.86,2.2,51,23.81,18.18,76.19,81.82,26,74,5,11,1,0.455
11/8/20,Atalanta,Inter,,,,,34.48,18.18,1.74,1.8,33,41.86,20,58.14,80,44,56,2,9,1,0.222
11/8/20,Inter,Atalanta,,,,,41.86,20,1.83,1.9,44,34.48,18.18,65.52,81.82,33,67,3,13,1,0.231
11/8/20,Genoa,Roma,,,,,19.05,16.67,1.18,0.6,19,58.33,38.1,41.67,61.9,59,41,5,7,1,0.714
11/8/20,Roma,Genoa,,,,,58.33,38.1,1.94,2.7,59,19.05,16.67,80.95,83.33,19,81,9,18,3,0.5
11/8/20,Torino,Crotone,,,,,49.63,33.33,1.74,1.9,48,25.64,20,74.36,80,26,74,0,4,0,0
11/8/20,Crotone,Torino,,,,,25.64,20,1.33,0.9,26,49.63,33.33,50.37,66.67,48,52,2,8,0,0.25
11/8/20,Bologna,Napoli,,,,,20,14.29,1.33,0.8,18,58.82,33.33,41.18,66.67,59,41,3,10,0,0.3
11/8/20,Napoli,Bologna,,,,,58.82,33.33,2.05,2.7,59,20,14.29,80,85.71,18,82,4,19,1,0.211
11/8/20,Milan,Hellas Verona,,,,,68.18,44.44,2.16,2.7,69,12.5,12.5,87.5,87.5,11,89,8,32,2,0.25
11/8/20,Hellas Verona,Milan,,,,,12.5,12.5,1.05,0.4,11,68.18,44.44,31.82,55.56,69,31,2,7,2,0.286
11/21/20,Crotone,Lazio,,,,,20,16.67,1.24,0.8,25,56.5,36.36,43.5,63.64,50,50,,,,
