Date,Team,Opp,Shots/90,OppShotsA/90,SoT/90,Opp_SoTA/90,Win_Odds,CS_Odds,Odds_GF,OddsShark_GF,FiveThirtyEight_Odds,Opp_Odds,Opp_CS_Odds,Opp_Odds_INV,Opp_CS_Odds_INV,Opp_FiveThirtyEight_Odds,Opp_FiveThirtyEight_Odds_INV,Real_SoT,Real_Shots,Real_Goals,SoT%
10/24/20,Bayern Munich,Eint Frankfurt,,,,,80,40,2.62,4.5,83,8.33,5.26,91.67,94.74,6,94,9,20,5,0.45
10/24/20,Eint Frankfurt,Bayern Munich,,,,,8.33,5.26,1.11,0,6,80,40,20,60,83,17,2,8,0,0.25
10/24/20,Mainz 05,M'Gladbach,,,,,20.83,15.38,1.24,0.7,24,59.09,36.36,40.91,63.64,52,48,6,15,2,0.4
10/24/20,M'Gladbach,Mainz 05,,,,,59.09,36.36,2,2.4,52,20.83,15.38,79.17,84.62,24,76,8,20,3,0.4
10/24/20,RB Leipzig,Hertha BSC,,,,,67.31,38.1,2.29,3.2,68,14.29,10,85.71,90,13,87,7,25,2,0.28
10/24/20,Hertha BSC,RB Leipzig,,,,,14.29,10,1.18,0.5,13,67.31,38.1,32.69,61.9,68,32,2,9,1,0.222
10/24/20,Union Berlin,Freiburg,,,,,43.48,30.77,1.6,1.8,43,30.56,25,69.44,75,30,70,7,19,1,0.368
10/24/20,Freiburg,Union Berlin,,,,,30.56,25,1.36,1,30,43.48,30.77,56.52,69.23,43,57,4,8,1,0.5
10/24/20,Dortmund,Schalke 04,,,,,81.25,54.55,2.45,3.9,81,6.67,6.67,93.33,93.33,5,95,7,17,3,0.412
10/24/20,Schalke 04,Dortmund,,,,,6.67,6.67,0.83,0,5,81.25,54.55,18.75,45.45,81,19,0,4,0,0
10/25/20,Wolfsburg,Arminia,,,,,58.82,42.11,1.83,2,55,18.18,18.18,81.82,81.82,18,82,4,13,2,0.308
10/25/20,Arminia,Wolfsburg,,,,,18.18,18.18,1.09,0.8,18,58.82,42.11,41.18,57.89,55,45,1,9,1,0.111
10/25/20,Werder Bremen,Hoffenheim,,,,,32.35,20,1.54,1.2,30,43.9,26.67,56.1,73.33,45,55,2,5,1,0.4
10/25/20,Hoffenheim,Werder Bremen,,,,,43.9,26.67,1.74,1.9,45,32.35,20,67.65,80,30,70,4,14,1,0.286
10/26/20,Leverkusen,Augsburg,,,,,60,38.1,2.05,2.6,64,18.87,14.29,81.13,85.71,13,87,6,14,3,0.429
10/26/20,Augsburg,Leverkusen,,,,,18.87,14.29,1.19,0.5,13,60,38.1,40,61.9,64,36,3,7,1,0.429
10/30/20,Schalke 04,Stuttgart,,,,,30.56,23.08,1.43,0.8,37,44.44,29.41,55.56,70.59,35,65,2,9,1,0.222
10/30/20,Stuttgart,Schalke 04,,,,,44.44,29.41,1.7,2,35,30.56,23.08,69.44,76.92,37,63,7,19,1,0.368
10/31/20,Augsburg,Mainz 05,,,,,50,30.77,1.83,2.3,44,25.64,18.18,74.36,81.82,29,71,6,12,3,0.5
10/31/20,Mainz 05,Augsburg,,,,,25.64,18.18,1.33,0.8,29,50,30.77,50,69.23,44,56,4,9,1,0.444
10/31/20,Bielefeld,Dortmund,,,,,13.33,11.11,1.05,0.4,14,68.75,44.44,31.25,55.56,63,37,2,5,0,0.4
10/31/20,Dortmund,Bielefeld,,,,,68.75,44.44,2.15,3,63,13.33,11.11,86.67,88.89,14,86,10,21,2,0.476
10/31/20,Eint Frankfurt,Werder Bremen,,,,,56.25,33.33,2.01,2.4,55,21.74,15.38,78.26,84.62,20,80,6,17,1,0.353
10/31/20,Werder Bremen,Eint Frankfurt,,,,,21.74,15.38,1.33,0.9,20,56.25,33.33,43.75,66.67,55,45,4,10,1,0.4
10/31/20,Koln,Bayern Munich,,,,,5.88,5.88,0.99,0,7,83.33,45.45,16.67,54.55,80,20,2,9,1,0.222
10/31/20,Bayern Munich,Koln,,,,,83.33,45.45,2.62,4.2,80,5.88,5.88,94.12,94.12,7,93,3,4,2,0.75
10/31/20,M'Gladbach,RB Leipzig,,,,,32.26,20,1.54,0.7,33,43.48,26.67,56.52,73.33,42,58,3,5,1,0.6
10/31/20,RB Leipzig,M'Gladbach,,,,,43.48,26.67,1.74,2.9,42,32.26,20,67.74,80,33,67,3,15,0,0.2
11/1/20,Freiburg,Leverkusen,,,,,27.59,20,1.36,0.9,25,47.62,30.77,52.38,69.23,49,51,5,8,2,0.625
11/1/20,Leverkusen,Freiburg,,,,,47.62,30.77,1.74,1.9,49,27.59,20,72.41,80,25,75,7,18,4,0.389
