Date,Team,Opp,Shots/90,OppShotsA/90,SoT/90,Opp_SoTA/90,Win_Odds,CS_Odds,Odds_GF,OddsShark_GF,FiveThirtyEight_Odds,Opp_Odds,Opp_CS_Odds,Opp_Odds_INV,Opp_CS_Odds_INV,Opp_FiveThirtyEight_Odds,Opp_FiveThirtyEight_Odds_INV,Real_SoT,Real_Shots,Real_Goals,SoT%
10/18/20,Lens,Lille,,,,,23.08,25,1.07,0.4,20,52.38,42.11,47.62,57.89,54,46,2,7,0,0.286
10/23/20,Rennes,Angers,,,,,55.56,44.44,1.69,2.2,56,21.05,23.08,78.95,76.92,18,82,1,11,1,0.091
10/23/20,Angers,Rennes,,,,,21.05,23.08,1.03,0.2,18,55.56,44.44,44.44,55.56,56,44,4,10,2,0.4
10/24/20,Lorient,Marseille,,,,,33.33,29.41,1.33,0.8,31,38.1,33.33,61.9,66.67,43,57,3,12,0,0.25
10/24/20,Marseille,Lorient,,,,,38.1,33.33,1.42,1.8,43,33.33,29.41,66.67,70.59,31,69,3,15,1,0.2
10/24/20,Paris S-G,Dijon,,,,,93.33,61.9,2.81,6.4,92,2.78,4.76,97.22,95.24,2,98,9,20,4,0.45
10/24/20,Dijon,Paris S-G,,,,,2.78,4.76,0.71,0,2,93.33,61.9,6.67,38.1,92,8,3,17,0,0.176
10/25/20,Bordeaux,Nimes,,,,,50.63,40,1.63,1.8,46,24.39,23.08,75.61,76.92,25,75,5,19,2,0.263
10/25/20,Nimes,Bordeaux,,,,,24.39,23.08,1.11,0.6,25,50.63,40,49.37,60,46,54,4,8,0,0.5
10/25/20,Brest,Strasbourg,,,,,44,30.77,1.6,1.6,41,31.25,25,68.75,75,33,67,4,14,0,0.286
10/25/20,Strasbourg,Brest,,,,,31.25,25,1.33,0.8,33,44,30.77,56,69.23,41,59,4,7,3,0.571
10/25/20,Metz,Saint-Etienne,,,,,41.67,36.36,1.43,1.8,45,32.26,29.41,67.74,70.59,26,74,3,6,2,0.5
10/25/20,Saint-Etienne,Metz,,,,,32.26,29.41,1.24,0.6,26,41.67,36.36,58.33,63.64,45,55,0,10,0,0
10/25/20,Montpellier,Reims,,,,,47.06,42.65,1.75,2.1,49,23.81,31.43,76.19,68.57,23,77,1,5,0,0.2
10/25/20,Reims,Montpellier,,,,,23.81,31.43,1.15,0.3,23,47.06,42.65,52.94,57.35,49,51,6,21,4,0.286
10/25/20,Nice,Lille,,,,,28.57,28.57,1.16,0.8,25,45,38.1,55,61.9,48,52,3,7,1,0.429
10/25/20,Lille,Nice,,,,,45,38.1,1.42,1.6,48,28.57,28.57,71.43,71.43,25,75,4,11,1,0.364
10/25/20,Lyon,Monaco,,,,,58.33,36.36,2.01,2.6,54,21.05,15.38,78.95,84.62,22,78,5,14,4,0.357
10/25/20,Monaco,Lyon,,,,,21.05,15.38,1.24,0.4,22,58.33,36.36,41.67,63.64,54,46,4,17,1,0.235
10/31/20,Rennes,Brest,,,,,54.55,36.36,1.78,2.2,55,23.26,20,76.74,80,21,79,8,24,2,0.333
10/31/20,Brest,Rennes,,,,,23.26,20,1.24,0.5,21,54.55,36.36,45.45,63.64,55,45,4,9,1,0.444
10/31/20,Nantes,Paris S-G,,,,,11.76,10,1.05,0,10,68.42,44.44,31.58,55.56,75,25,0,5,0,0
10/31/20,Paris S-G,Nantes,,,,,68.42,44.44,2.22,4,75,11.76,10,88.24,90,10,90,3,12,3,0.25
11/1/20,Saint-Etienne,Montpellier,,,,,40.82,30.77,1.54,1.2,41,32.26,26.67,67.74,73.33,31,69,0,8,0,0
11/1/20,Montpellier,Saint-Etienne,,,,,32.26,26.67,1.36,1.2,31,40.82,30.77,59.18,69.23,41,59,2,9,1,0.222
11/1/20,Angers,Nice,,,,,43.33,36.36,1.49,1.6,40,29.41,26.67,70.59,73.33,32,68,5,11,0,0.455
11/1/20,Nice,Angers,,,,,29.41,26.67,1.25,1,32,43.33,36.36,56.67,63.64,40,60,5,11,3,0.455
11/1/20,Dijon,Lorient,,,,,31.25,26.67,1.33,1.2,39,43.18,33.33,56.82,66.67,34,66,2,11,0,0.182
11/1/20,Lorient,Dijon,,,,,43.18,33.33,1.54,1.3,34,31.25,26.67,68.75,73.33,39,61,1,8,0,0.125
11/1/20,Nimes,Metz,,,,,34.78,33.33,1.33,1.8,39,37.04,33.33,62.96,66.67,31,69,2,17,0,0.118
11/1/20,Metz,Nimes,,,,,37.04,33.33,1.33,0.6,31,34.78,33.33,65.22,66.67,39,61,5,8,1,0.625
11/1/20,Reims,Strasbourg,,,,,40,36.36,1.43,1.5,41,32.26,29.41,67.74,70.59,31,69,4,11,2,0.364
11/1/20,Strasbourg,Reims,,,,,32.26,29.41,1.24,0.8,31,40,36.36,60,63.64,41,59,1,6,1,0.167
11/1/20,Monaco,Bordeaux,,,,,53.85,38.1,1.83,1.8,53,22.73,18.18,77.27,81.82,22,78,5,16,4,0.313
11/1/20,Bordeaux,Monaco,,,,,22.73,18.18,1.19,0.8,22,53.85,38.1,46.15,61.9,53,47,0,5,0,0
11/1/20,Lille,Lyon,,,,,34.78,28.57,1.42,1.9,39,37.66,28.57,62.34,71.43,34,66,6,15,1,0.4
11/1/20,Lyon,Lille,,,,,37.66,28.57,1.46,0.6,34,34.78,28.57,65.22,71.43,39,61,1,8,1,0.125
11/6/20,Strasbourg,Marseille,,,,,34.48,30.77,1.33,1,36,38.1,33.33,61.9,66.67,36,64,2,10,0,0.2
11/6/20,Marseille,Strasbourg,,,,,38.1,33.33,1.36,1.6,36,34.48,30.77,65.52,69.23,36,64,1,1,1,1
11/7/20,Bordeaux,Montpellier,,,,,41.18,36.36,1.42,1.8,44,32.26,29.41,67.74,70.59,28,72,1,9,0,0.111
11/7/20,Montpellier,Bordeaux,,,,,32.26,29.41,1.24,0.7,28,41.18,36.36,58.82,63.64,44,56,3,9,2,0.333
11/7/20,Paris S-G,Rennes,,,,,73.08,47.62,2.29,4.1,79,11.76,9.09,88.24,90.91,7,93,5,10,3,0.5
11/7/20,Rennes,Paris S-G,,,,,11.76,9.09,0.96,0,7,73.08,47.62,26.92,52.38,79,21,3,15,0,0.2
11/8/20,Brest,Lille,,,,,26.32,22.22,1.28,0.6,20,48.78,33.33,51.22,66.67,55,45,8,12,3,0.667
11/8/20,Lille,Brest,,,,,48.78,33.33,1.74,2,55,26.32,22.22,73.68,77.78,20,80,6,20,2,0.3
11/8/20,Lens,Reims,,,,,46.34,40,1.46,1.7,46,26.32,28.57,73.68,71.43,26,74,5,16,4,0.313
11/8/20,Reims,Lens,,,,,26.32,28.57,1.14,0.6,26,46.34,40,53.66,60,46,54,6,9,4,0.667
11/8/20,Lorient,Nantes,,,,,40,36.36,1.43,1.7,39,32.26,29.41,67.74,70.59,33,67,4,18,0,0.222
11/8/20,Nantes,Lorient,,,,,32.26,29.41,1.24,0.7,33,40,36.36,60,63.64,39,61,4,16,2,0.25
11/8/20,Metz,Dijon,,,,,55.56,45.45,1.69,2,48,20,22.22,80,77.78,23,77,3,14,1,0.214
11/8/20,Dijon,Metz,,,,,20,22.22,0.96,0.4,23,55.56,45.45,44.44,54.55,48,52,6,15,1,0.4
11/8/20,Nimes,Angers,,,,,32.26,29.41,1.24,1.4,40,39.77,36.36,60.23,63.64,31,69,4,12,1,0.333
11/8/20,Angers,Nimes,,,,,39.77,36.36,1.43,1,31,32.26,29.41,67.74,70.59,40,60,7,15,5,0.467
11/8/20,Nice,Monaco,,,,,28.95,20,1.46,1.4,32,47.37,28.57,52.63,71.43,43,57,4,8,1,0.5
11/8/20,Monaco,Nice,,,,,47.37,28.57,1.82,1.6,43,28.95,20,71.05,80,32,68,8,15,2,0.533
11/8/20,Lyon,Saint-Etienne,,,,,71.43,50,2.16,2.8,71,10.53,12.5,89.47,87.5,9,91,6,18,2,0.333
11/8/20,Saint-Etienne,Lyon,,,,,10.53,12.5,0.91,0,9,71.43,50,28.57,50,71,29,4,14,1,0.286
11/21/20,Brest,Saint-Etienne,,,,,45.45,28.57,1.74,2.1,45,29.41,22.22,70.59,77.78,29,71,,,,
11/21/20,Saint-Etienne,Brest,,,,,29.41,22.22,1.42,0.6,29,45.45,28.57,54.55,71.43,45,55,,,,
11/22/20,Nantes,Metz,,,,,43.67,42.19,1.36,1.6,44,27.78,30.77,72.22,69.23,26,74,,,,
11/22/20,Metz,Nantes,,,,,27.78,30.77,1.11,0.6,26,43.67,42.19,56.33,57.81,44,56,,,,
11/22/20,Dijon,Lens,,,,,27.78,23.09,1.33,0.9,32,46.51,33.33,53.49,66.67,41,59,,,,
11/22/20,Lens,Dijon,,,,,46.51,33.33,1.63,1.6,41,27.78,23.09,72.22,76.91,32,68,,,,
11/22/20,Montpellier,Strasbourg,,,,,46.51,38.17,1.54,1.7,41,27.78,26.67,72.22,73.33,32,68,,,,
11/22/20,Strasbourg,Montpellier,,,,,27.78,26.67,1.14,0.8,32,46.51,38.17,53.49,61.83,41,59,,,,
11/22/20,Reims,Nimes,,,,,50,40,1.63,1.8,47,23.09,23.09,76.91,76.91,26,74,,,,
11/22/20,Nimes,Reims,,,,,23.09,23.09,1.11,0.8,26,50,40,50,60,47,53,,,,
11/22/20,Angers,Lyon,,,,,19.05,16.67,1.12,0.6,21,57.8,40,42.2,60,55,45,,,,
11/22/20,Lyon,Angers,,,,,57.8,40,1.93,2.2,55,19.05,16.67,80.95,83.33,21,79,,,,
11/22/20,Lille,Lorient,,,,,62.11,47.62,1.83,2.6,69,14.29,18.18,85.71,81.82,11,89,,,,
11/22/20,Lorient,Lille,,,,,14.29,18.18,0.93,0,11,62.11,47.62,37.89,52.38,69,31,,,,
11/25/20,Lens,Nantes,,,,,47.62,40,1.56,1,46,27.78,26.32,72.22,73.68,27,73,,,,
11/25/20,Nantes,Lens,,,,,27.78,26.32,1.22,1.4,27,47.62,40,52.38,60,46,54,,,,
11/27/20,Strasbourg,Rennes,,,,,32.79,33.33,1.24,1.1,34,37.04,36.36,62.96,63.64,39,61,,,,
11/27/20,Rennes,Strasbourg,,,,,37.04,36.36,1.33,1.3,39,32.79,33.33,67.21,66.67,34,66,,,,
11/28/20,Marseille,Nantes,,,,,47.17,40.00,1.54,2.1,48,25.00,26.67,75.00,73.33,24,76,,,,
11/28/20,Nantes,Marseille,,,,,25.00,26.67,1.14,0.4,24,47.17,40.00,52.83,60.00,48,52,,,,
11/28/20,Paris S-G,Bordeaux,,,,,83.33,50.00,2.58,4.6,87,5.88,5.26,94.12,94.74,3,97,,,,
