Date,Team,Opp,Shots/90,OppShotsA/90,SoT/90,Opp_SoTA/90,Win_Odds,CS_Odds,Odds_GF,OddsShark_GF,Avg_GF,FiveThirtyEight_Odds,Opp_Odds,Opp_CS_Odds,Opp_Odds_INV,Opp_CS_Odds_INV,Opp_FiveThirtyEight_Odds,Opp_FiveThirtyEight_Odds_INV,Real_SoT,Real_Shots,Real_Goals,SoT%
11/8/20,Colorado,Houston,,,,,32.26,20,1.62,1.1,1.36,33,45.16,25,54.84,75,44,56,6,12,2,0.5
11/8/20,LAFC,Portland,,,,,62.07,26.67,2.2,2.5,2.35,59,18.18,10,81.82,90,22,78,7,14,1,0.5
11/8/20,Portland,LAFC,,,,,18.18,10,1.51,1,1.26,22,62.07,26.67,37.93,73.33,59,41,3,8,1,0.375
11/8/20,Minnesota,Dallas,,,,,44.83,28.57,1.93,1.8,1.87,45,28.13,21.74,71.88,78.26,31,69,8,18,3,0.444
11/8/20,Dallas,Minnesota,,,,,28.13,21.74,1.65,1,1.32,31,44.83,28.57,55.17,71.43,45,55,4,17,0,0.235
11/8/20,Real Salt Lake,Sporting KC,,,,,34.78,22.22,1.62,1.6,1.61,39,41.67,25,58.33,75,34,66,4,10,0,0.4
11/8/20,Sporting KC,Real Salt Lake,,,,,41.67,25,1.7,1.4,1.55,34,34.78,22.22,65.22,77.78,39,61,8,13,2,0.615
11/8/20,Seattle,San Jose,,,,,60.24,36.36,2.1,2.7,2.4,64,18.18,14.29,81.82,85.71,15,85,5,10,4,0.5
11/8/20,San Jose,Seattle,,,,,18.18,14.29,1.28,0.6,0.94,15,60.24,36.36,39.76,63.64,64,36,3,5,1,0.6
11/8/20,Vancouver,LA Galaxy,,,,,33.33,22.22,1.54,1.2,1.37,35,43.9,26.67,56.1,73.33,41,59,6,16,3,0.375
11/8/20,LA Galaxy,Vancouver,,,,,43.9,26.67,1.74,2,1.87,41,33.33,22.22,66.67,77.78,35,65,6,12,0,0.5
11/20/20,Nashville,Miami,,,,,38.17,45.45,1.61,1.8,1.71,55,23.81,28.57,76.19,71.43,45,55,3,6,3,0.5
11/20/20,Miami,Nashville,,,,,23.81,28.57,0.96,0.9,0.93,45,38.17,45.45,61.83,54.55,55,45,3,9,0,0.333333333
