Date,League,Interleague?,GameStyle,Player,Team,Pos,Salary,Pts_w_StartMins,Start_Mins,Sub_Mins,Starting,starts,subs,Reg_Pts,MatchReport_URL,HorA,Real_Pts,Real_Mins,Proj_Mins,TeamGoals,InfoStr,Reg_Pts.1,Unfinished_Spreadsheet,GamesBack,Team_Full,FPTS_stdev,FPTS_med,FPTS_med/proj_mins,FPTS_xG_med,FPTS_xG_med/proj_mins
20210818,MLS,0,Showdown,Tomas Pochettino,ATX,M,10200,21.04944874,90,30,y,4,1,,https://fbref.com/en/matches/e53e3077/Austin-FC-Vancouver-Whitecaps-FC-August-18-2021-Major-League-Soccer,H,9.92,88,90,1,ATX-MLS-20210818-Showdown,,Matchup_Spreadsheets/MLS/ATX_VAN_20210818_spreadsheet.csv,5,Austin FC,10.25334755,11.46,11.46,17.46,17.46
20210818,MLS,0,Showdown,Cristian Dajome,VAN,M/F,11000,16.50684411,89.91643452,31,y,3,1,,https://fbref.com/en/matches/e53e3077/Austin-FC-Vancouver-Whitecaps-FC-August-18-2021-Major-League-Soccer,A,11.26,90,89.91643452,2,VAN-MLS-20210818-Showdown,,Matchup_Spreadsheets/MLS/ATX_VAN_20210818_spreadsheet.csv,5,Vancouver,12.78181306,18.34,18.32297121,16.84,16.82436397
