Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,CrdR,Floor,FPTS,xG,Team_xG,xG_Share,Proj_Gls,xA,Team_xA,xA_Share,Proj_Ast,Team_Shot_Proj,TeamSoT_Proj,Team_Shots,Shot_Share,Proj_Shots,SoT%,Proj_SoT,Team_KP,KP_Share,Proj_KP,Team_Odds,Team_Goal_Odds,Pts_w_StartMins,Start_Mins,Sub_Mins,Starting
Carlos Vela,LAFC,M/F,11200,0.63,0,0,1,0,2,1,15,0,0,1,0,0,0,7.42,7.42,0,5.8,0.00,0.00,0,5.4,0.00,0.00,13.01,5.34,57,0.02,0.23,0.00,0.00,42,0.02,0.23,0.454545455,1.92,0.73,57,0,
Danilo da Silva,LAFC,D,4000,0.42,0,0,0,0,0,0,11,1,0,0,0,0,0,2.89,2.89,0,5.8,0.00,0.00,0,5.4,0.00,0.00,13.01,5.34,57,0.00,0.00,0.00,0.00,42,0.00,0.00,0.454545455,1.92,0.73,38,0,
Kenneth Vermeer,LAFC,GK,7600,2.00,0,0,0,0,0,0,31,0,0,0,1,0,0,0.56,0.56,0,5.8,0.00,0.00,0,5.4,0.00,0.00,13.01,5.34,57,0.00,0.00,0.00,0.00,42,0.00,0.00,0.454545455,1.92,0.73,90,0,
Mark-Anthony Kaye,LAFC,M,5600,3.42,0,1,2,0,2,5,208,4,5,4,2,1,1,5.57,5.13,0.1,5.8,0.02,0.03,0.1,5.4,0.02,0.04,13.01,5.34,57,0.04,0.46,0.00,0.00,42,0.12,1.14,0.454545455,1.92,0.73,77,,
Everton Luiz,RSL,M,4200,1.82,0,0,0,0,0,0,66,5,2,4,2,0,0,5.66,5.66,0,5.2,0.00,0.00,0,2.9,0.00,0.00,10.00,3.21,59,0.00,0.00,0.00,0.00,42,0.00,0.00,0.3125,1.54,0.22,67.5,14.5,
Andrew Putna,RSL,GK,5000,3.00,0,0,0,0,0,0,57,0,0,0,0,0,0,0.38,0.38,0,5.2,0.00,0.00,0,2.9,0.00,0.00,10.00,3.21,59,0.00,0.00,0.00,0.00,42,0.00,0.00,0.3125,1.54,-0.31,90,0,y
Sam Johnson,RSL,F,4600,1.34,1,0,2,1,2,3,23,0,4,1,1,1,0,5.47,11.80,0.1,5.2,0.02,0.03,0.1,2.9,0.03,0.05,10.00,3.21,59,0.03,0.34,0.50,0.17,42,0.07,0.51,0.3125,1.54,-0.52,90,10.33333333,
Nick Besler,RSL,M,3200,0.89,0,0,0,0,0,0,30,1,1,1,1,0,0,2.93,2.93,0,5.2,0.00,0.00,0,2.9,0.00,0.00,10.00,3.21,59,0.00,0.00,0.00,0.00,42,0.00,0.00,0.3125,1.54,-0.61,72,2.666666667,
Kyle Beckerman,RSL,M,4400,0.90,0,0,0,0,2,1,24,4,3,0,2,1,0,7.09,5.42,0,5.2,0.00,0.00,0.1,2.9,0.03,0.05,10.00,3.21,59,0.00,0.00,0.00,0.00,42,0.02,0.17,0.3125,1.54,-0.62,77,1.333333333,
Erik Holt,RSL,D,3000,1.01,0,0,1,0,0,0,55,1,2,1,0,0,0,3.07,3.07,0,5.2,0.00,0.00,0,2.9,0.00,0.00,10.00,3.21,59,0.02,0.17,0.00,0.00,42,0.00,0.00,0.3125,1.54,-0.69,90,0.333333333,
Zac MacMath,RSL,GK,5200,1.00,0,0,0,0,0,0,23,0,0,0,0,0,0,0.46,0.46,0,5.2,0.00,0.00,0,2.9,0.00,0.00,10.00,3.21,59,0.00,0.00,0.00,0.00,42,0.00,0.00,0.3125,1.54,-0.69,90,0,
Douglas Martinez,RSL,F,5000,0.96,0,0,1,0,3,0,18,0,1,2,0,0,0,5.19,5.19,0,5.2,0.00,0.00,0,2.9,0.00,0.00,10.00,3.21,59,0.02,0.17,0.00,0.00,42,0.00,0.00,0.3125,1.54,-0.69,45,0,
Justin Portillo,RSL,M,3400,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,5.2,0.00,0.00,0,2.9,0.00,0.00,10.00,3.21,59,0.00,0.00,0.00,0.00,42,0.00,0.00,0.3125,1.54,-0.69,,0.25,
Marcelo Silva,RSL,D,3600,2.00,0,0,3,1,0,2,79,0,1,1,5,0,0,5.29,5.29,0.1,5.2,0.02,0.03,0.1,2.9,0.03,0.05,10.00,3.21,59,0.05,0.51,0.33,0.17,42,0.05,0.34,0.3125,1.54,-0.69,90,0,
Tate Schmitt,RSL,D,4800,1.00,0,0,0,0,0,0,34,1,2,1,2,0,0,2.68,2.68,0,5.2,0.00,0.00,0,2.9,0.00,0.00,10.00,3.21,59,0.00,0.00,0.00,0.00,42,0.00,0.00,0.3125,1.54,-0.69,90,0,
