Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,Floor,FPTS,xG,Team_xG,xG_Share,Proj_Gls,xA,Team_xA,xA_Share,Proj_Ast,Team_Shot_Proj,Team_SoT_Proj,Team_Shots,Shot_Share,Proj_Shots,SoT%,Proj_SoT,Team_KP,KP_Share,Proj_KP,Team_Odds,Team_Goal_Odds,Pts_w_StartMins,Start_Mins,Sub_Mins,Starting,Player_
Aaron Schoenfeld,MIN,F,3600,0.488888889,0,0,1,0,1,0,7,2,2,0,1,0,6.831818182,6.831818182,0.2,6,0.033333333,0.056,0,3.5,0,0,9.44068512,4.882380181,50,0.02,0.188813702,0,0,34,0,0,31.25,1.68,3.939722793,60,8.8,y,Aaron Schoenfeld
Alan Winn,NSH,F,3600,2.111111111,0,0,2,1,1,0,74,7,3,1,1,0,5.769473684,5.769473684,0.1,1.7,0.058823529,0.074117647,0,3.2,0,0,13.24941012,3.686251942,24,0.083333333,1.10411751,0.5,0.552058755,23,0,0,42.55,1.26,3.331457999,62,19.33333333,b,Alan Winn
Bakaye Dibassy,MIN,D,4200,3.5,0,0,1,0,1,0,103,2,2,4,2,0,2.788571429,2.788571429,0.2,6,0.033333333,0.056,0,3.5,0,0,9.44068512,4.882380181,50,0.02,0.188813702,0,0,34,0,0,31.25,1.68,2.938813702,78.75,0,y,Bakaye Dibassy
Taylor Washington,NSH,D,3200,1.633333333,0,0,1,0,8,2,73,0,4,1,1,1,5.853061224,4.934693878,0,1.7,0,0,0.1,3.2,0.03125,0.074117647,13.24941012,3.686251942,24,0.041666667,0.552058755,0,0,23,0.086956522,1.10411751,42.55,1.26,2.591392351,90,14.25,b,Taylor Washington
Michael Boxall,MIN,D,3400,5,0,0,0,0,0,0,165,2,5,6,2,1,1.96,1.66,0,6,0,0,0,3.5,0,0,9.44068512,4.882380181,50,0,0,0,0,34,0,0,31.25,1.68,1.66,90,0,y,Michael Boxall
Jose Aja,MIN,D,3000,2,0,0,3,1,0,0,55,0,4,1,2,1,2.55,1.8,0.2,6,0.033333333,0.056,0,3.5,0,0,9.44068512,4.882380181,50,0.06,0.566441107,0.333333333,0.188813702,34,0,0,31.25,1.68,1.16525481,67.5,15,y,Jose Aja
Raheem Edwards,MIN,M/F,4600,0.744444444,0,0,0,0,2,1,21,2,1,1,1,0,7.817910448,7.817910448,0,6,0,0,0.2,3.5,0.057142857,0.056,9.44068512,4.882380181,50,0,0,0,0,34,0.029411765,0.188813702,31.25,1.68,0.920485344,45,5.5,b,Raheem Edwards
Marlon Hairston,MIN,M,3800,1.477777778,0,0,0,0,0,0,48,4,2,5,1,0,6.401503759,6.401503759,0,6,0,0,0,3.5,0,0,9.44068512,4.882380181,50,0,0,0,0,34,0,0,31.25,1.68,0.76462406,90,10.75,b,Marlon Hairston
James Musa,MIN,M,3600,0.5,0,0,0,0,0,0,24,0,1,0,0,0,-0.04,-0.04,0,6,0,0,0,3.5,0,0,9.44068512,4.882380181,50,0,0,0,0,34,0,0,31.25,1.68,0,45,0,b,James Musa
Jalil Anibaba,NSH,D,3400,1,0,0,0,0,2,0,29,0,1,0,0,1,1.48,-0.02,0,1.7,0,0,0,3.2,0,0,13.24941012,3.686251942,24,0,0,0,0,23,0,0,42.55,1.26,-0.001277778,67,5.75,b,Jalil Anibaba
