Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,CrdR,Floor,FPTS,xG,Team_xG,xG_Share,Proj_Gls,xA,Team_xA,xA_Share,Proj_Ast,Team_Shot_Proj,TeamSoT_Proj,Team_Shots,Shot_Share,Proj_Shots,SoT%,Proj_SoT,Team_KP,KP_Share,Proj_KP,Team_Odds,Team_Goal_Odds,Pts_w_StartMins,Start_Mins,Sub_Mins,Starting
Alan Pulido,SKC,F,11000,2.70,0,0,8,3,1,2,76,7,3,0,0,1,0,7.67,7.12,1.2,8.1,0.15,0.30,0.4,5.2,0.08,0.15,16.0,4.9,71,0.11,1.80,0.38,0.68,41,0.05,0.45,0.60,2.01,2.04,81,0,
Amadou Dia,SKC,D,4000,1.00,0,0,0,0,1,0,34,0,0,3,4,0,0,6.38,6.38,0,8.1,0.00,0.00,0,5.2,0.00,0.00,16.0,4.9,71,0.00,0.00,0.00,0.00,41,0.00,0.00,0.60,2.01,2.04,90,0,b
Graham Smith,SKC,D,3000,2.50,0,0,0,0,0,0,94,2,3,1,7,1,0,2.75,2.15,0,8.1,0.00,0.00,0,5.2,0.00,0.00,16.0,4.9,71,0.00,0.00,0.00,0.00,41,0.00,0.00,0.60,2.01,2.04,75,0,
Jaylin Lindsey,SKC,D,7200,5.00,0,1,2,0,18,7,227,3,3,3,8,0,0,6.93,8.13,0.1,8.1,0.01,0.02,0.4,5.2,0.08,0.15,16.0,4.9,71,0.03,0.45,0.00,0.00,41,0.17,1.58,0.60,2.01,2.04,90,,b
Roger Espinoza,SKC,M,6000,1.62,0,0,2,0,1,1,43,1,5,3,4,0,0,4.97,4.97,0,8.1,0.00,0.00,0,5.2,0.00,0.00,16.0,4.9,71,0.03,0.45,0.00,0.00,41,0.02,0.23,0.60,2.01,2.04,48.66666667,0,
Mason Toye,MIN,F,6000,2.83,1,0,7,4,0,4,38,0,4,0,0,0,0,4.86,8.39,1.2,6.3,0.19,0.25,0.2,4.4,0.05,0.06,9.5,3.5,73,0.10,0.91,0.57,0.52,47,0.09,0.52,0.21,1.33,1.43,67,27,y
Marlon Hairston,MIN,M,4200,0.79,0,0,0,0,1,0,27,1,1,1,0,0,0,3.47,3.47,0,6.3,0.00,0.00,0,4.4,0.00,0.00,9.5,3.5,73,0.00,0.00,0.00,0.00,47,0.00,0.00,0.21,1.33,0.89,71,0,y
Robin Lod,MIN,M,5800,3.43,2,1,7,2,5,7,106,2,2,2,3,0,0,7.61,15.18,0.9,6.3,0.14,0.19,0.9,4.4,0.20,0.27,9.5,3.5,73,0.10,0.91,0.29,0.26,47,0.15,0.91,0.21,1.33,0.62,70.75,26,b
Jose Aja,MIN,D,3800,3.89,0,0,2,0,0,0,115,2,9,7,7,2,0,3.16,2.39,0.1,6.3,0.02,0.02,0,4.4,0.00,0.00,9.5,3.5,73,0.03,0.26,0.00,0.00,47,0.00,0.00,0.21,1.33,0.43,87.5,0,y
James Musa,MIN,M,3200,1.11,0,0,0,0,0,1,58,0,3,1,3,0,0,2.84,2.84,0,6.3,0.00,0.00,0,4.4,0.00,0.00,9.5,3.5,73,0.00,0.00,0.00,0.00,47,0.02,0.13,0.21,1.33,0.22,90,2.5,y
