Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,CrdR,Floor,FPTS,xG,Team_xG,xG_Share,Proj_Gls,xA,Team_xA,xA_Share,Proj_Ast,Team_Shot_Proj,TeamSoT_Proj,Team_Shots,Shot_Share,Proj_Shots,SoT%,Proj_SoT,Team_KP,KP_Share,Proj_KP,Team_Odds,Team_Goal_Odds,Pts_w_StartMins,Start_Mins,Sub_Mins,Starting
Xavier Arreaga,SEA,D,3600,2.06,0,1,0,0,0,1,113,2,5,2,3,1,0,3.05,5.23,0,10.1,0.00,0.00,0.4,8,0.05,0.09,11.4,3.9,56,0.00,0.00,0.00,0.00,38,0.03,0.20,0.38,1.83,2.56,90,1.666666667,y
Shane O'Neill,SEA,D,3000,4.48,0,0,1,0,0,0,180,2,6,8,6,1,0,3.26,2.93,0.1,10.1,0.01,0.02,0,8,0.00,0.00,11.4,3.9,56,0.02,0.20,0.00,0.00,38,0.00,0.00,0.38,1.83,1.52,89.5,45,
Andy Najar,LAFC,M,4000,1.13,0,1,0,0,4,2,44,1,2,2,5,0,0,8.98,14.28,0,9.6,0.00,0.00,0.1,7.8,0.01,0.02,12.5,5.2,79,0.00,0.00,0.00,0.00,60,0.03,0.32,0.38,1.78,1.23,45,14.25,
Adrien Perez,LAFC,F,6800,1.11,0,0,2,0,0,0,23,2,2,2,0,0,0,4.91,4.91,0.5,9.6,0.05,0.09,0,7.8,0.00,0.00,12.5,5.2,79,0.03,0.32,0.00,0.00,60,0.00,0.00,0.38,1.78,0.99,,20,
Stefan Frei,SEA,GK,6000,5.00,0,0,0,0,0,0,143,1,0,0,0,0,0,0.77,0.77,0,10.1,0.00,0.00,0,8,0.00,0.00,11.4,3.9,56,0.00,0.00,0.00,0.00,38,0.00,0.00,0.38,1.83,0.75,90,,y
Daniel Musovski,LAFC,F,3600,1.49,2,0,4,3,0,0,24,1,3,1,1,0,0,5.70,19.13,0.7,9.6,0.07,0.13,0,7.8,0.00,0.00,12.5,5.2,79,0.05,0.63,0.75,0.47,60,0.00,0.00,0.38,1.78,0.69,63,17.75,
Christian Torres,LAFC,F,3800,0.26,0,0,0,0,3,0,10,0,0,1,0,0,0,12.91,12.91,0,9.6,0.00,0.00,0,7.8,0.00,0.00,12.5,5.2,79,0.00,0.00,0.00,0.00,60,0.00,0.00,0.38,1.78,0.68,,4.6,
Alex Roldan,SEA,M,4600,1.47,0,1,0,0,4,1,50,1,3,3,1,0,0,5.32,9.41,0,10.1,0.00,0.00,0.1,8,0.01,0.02,11.4,3.9,56,0.00,0.00,0.00,0.00,38,0.03,0.20,0.38,1.83,0.67,82,12.5,
Bryce Duke,LAFC,M,3000,0.71,0,0,0,0,5,1,26,2,2,2,3,0,0,13.39,13.39,0,9.6,0.00,0.00,0,7.8,0.00,0.00,12.5,5.2,79,0.00,0.00,0.00,0.00,60,0.02,0.16,0.38,1.78,0.66,45,4.75,
Mohamed El Monir,LAFC,D,3600,0.23,0,0,0,0,3,1,16,0,1,1,0,0,0,16.80,16.80,0,9.6,0.00,0.00,0,7.8,0.00,0.00,12.5,5.2,79,0.00,0.00,0.00,0.00,60,0.02,0.16,0.38,1.78,0.61,,4.2,
