Player,Team,Pos,90s,Gls,Ast,Sh,SoT,Crs,PassLive,PassDead,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,CrdR,Salary,FPPG,FPPG/$1000,Floor,FPPG-Floor,Team_Odds,FPPG_w_Odds,Floor_w_Odds,Opp_Def_OPRK,Starting,,,,,,,,,
Emerson Palmieri\Emerson-Palmieri,CHE,DF,15.9,0,1,17,9,74,21,8,780,18,13,14,24,3,0,4400,10.15,2.31,9.77,0.38,0.135,6.50,6.12,3,y,,,,,,,,,
César Azpilicueta\Cesar-Azpilicueta,CHE,DF,47.9,4,7,35,9,146,80,2,2649,19,58,77,88,5,0,3400,9.74,2.87,8.03,1.71,0.135,6.09,4.38,3,,,,,,,,,,
Javi Martínez\Javi-Martinez,BAY,DFMF,11.3,0,0,5,0,1,14,0,826,6,17,12,25,5,1,3800,4.22,1.11,4.22,0.00,0.673,5.95,5.95,27,,,,,,,,,,
Niklas Süle\Niklas-Sule,BAY,DF,11.1,0,1,7,1,2,8,0,694,4,8,6,9,1,0,3200,4.17,1.30,3.63,0.54,0.673,5.90,5.36,27,,,,,,,,,,
Jérôme Boateng\Jerome-Boateng,BAY,DF,28.8,0,2,6,2,9,12,0,1800,9,28,22,54,5,1,3600,3.74,1.04,3.33,0.42,0.673,5.47,5.06,27,,,,,,,,,,
N'Golo Kanté\NGolo-Kante,CHE,MF,24.6,3,0,22,6,32,59,0,1113,10,50,53,52,5,0,3400,8.87,2.61,7.65,1.22,0.135,5.22,4.00,3,y,,,,,,,,,
Mateo Kovačić\Mateo-Kovacic,CHE,MF,35.4,2,3,30,9,11,74,0,1971,57,39,68,34,12,1,3600,8.46,2.35,7.39,1.07,0.135,4.82,3.74,3,y,,,,,,,,,
Jorginho\Jorginho,CHE,MF,39,7,2,17,2,10,68,0,2359,37,47,58,88,13,0,3800,8.18,2.15,6.08,2.10,0.135,4.54,2.43,3,,,,,,,,,,
Ruben Loftus-Cheek\Ruben-Loftus-Cheek,CHE,MFFW,2.6,0,1,5,0,1,2,0,116,3,2,0,1,0,0,4400,7.12,1.62,4.82,2.31,0.135,3.47,1.17,3,,,,,,,,,,
Fikayo Tomori\Fikayo-Tomori,CHE,DF,20.7,2,1,15,5,4,17,0,1203,9,11,27,29,4,0,3000,6.23,2.08,4.97,1.26,0.135,2.58,1.32,3,,,,,,,,,,
Antonio Rüdiger\Antonio-Rudiger,CHE,DF,24.9,2,0,12,3,8,10,0,1371,10,22,30,21,4,0,3000,4.48,1.49,3.68,0.80,0.135,0.83,0.03,3,,,,,,,,,,
Billy Gilmour\Billy-Gilmour,CHE,MF,5.7,0,0,3,1,2,5,0,151,3,4,9,4,0,0,3800,4.46,1.17,4.46,0.00,0.135,0.81,0.81,3,,,,,,,,,,
Kurt Zouma\Kurt-Zouma,CHE,DF,40.2,1,1,25,6,1,17,0,2101,20,46,23,71,9,0,3200,3.70,1.16,3.30,0.40,0.135,0.05,-0.35,3,,,,,,,,,,
Andreas Christensen\Andreas-Christensen,CHE,DF,25,0,0,9,2,0,10,0,1281,13,22,24,38,5,0,3000,3.36,1.12,3.36,0.00,0.135,-0.28,-0.28,3,,,,,,,,,,
