Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,CrdR,Floor,FPTS,xG,Team_xG,xG_Share,Proj_Gls,xA,Team_xA,xA_Share,Proj_Ast,Team_Shot_Proj,TeamSoT_Proj,Team_Shots,Shot_Share,Proj_Shots,SoT%,Proj_SoT,Team_KP,KP_Share,Proj_KP,Team_Odds,Team_Goal_Odds,Pts_w_StartMins,Start_Mins,Sub_Mins,Starting
Jesus Ferreira,DAL,F,8800,2.08,1,0,5,4,4,0,46,2,2,6,2,2,0,9.97,13.34,0.4,6.6,0.06,0.11,0,4.2,0.00,0.00,13.8,5.0,48,0.10,1.44,0.80,1.15,30,0.00,0.00,0.48,1.74,1.16,61,2,b
Dante Sealy,DAL,F,7400,0.04,0,0,0,0,0,0,6,0,0,0,0,0,0,2.70,2.70,0,6.6,0.00,0.00,0,4.2,0.00,0.00,13.8,5.0,48,0.00,0.00,0.00,0.00,30,0.00,0.00,0.48,1.74,1.01,,0.8,b
Edwin Cerrillo,DAL,M,3200,0.12,0,0,0,0,0,0,3,0,0,0,0,0,0,0.49,0.49,0,6.6,0.00,0.00,0,4.2,0.00,0.00,13.8,5.0,48,0.00,0.00,0.00,0.00,30,0.00,0.00,0.48,1.74,1.00,,2.2,b
John Nelson,DAL,D,4600,3.50,0,0,1,1,4,0,120,1,0,5,3,0,0,4.20,4.20,0,6.6,0.00,0.00,0,4.2,0.00,0.00,13.8,5.0,48,0.02,0.29,1.00,0.29,30,0.00,0.00,0.48,1.74,0.98,78.75,0,b
Brian Galvan,COL,M,3400,0.61,1,0,4,1,2,3,30,2,1,0,0,0,0,18.82,35.18,1.4,9.4,0.15,0.20,0.2,7,0.03,0.04,13.1,4.8,77,0.05,0.68,0.25,0.17,58,0.05,0.51,0.27,1.33,0.10,,11,b
Nicolas Mezquida,COL,M/F,11200,1.37,0,0,6,0,4,2,53,1,2,1,1,0,0,9.78,9.78,0.4,9.4,0.04,0.06,0.2,7,0.03,0.04,13.1,4.8,77,0.08,1.02,0.00,0.00,58,0.03,0.34,0.27,1.33,-0.16,70,13,b
Andre Shinyashiki,COL,F,6400,2.41,0,0,7,4,1,1,60,7,4,1,1,0,0,8.46,8.46,0.3,9.4,0.03,0.04,0.7,7,0.10,0.13,13.1,4.8,77,0.09,1.19,0.57,0.68,58,0.02,0.17,0.27,1.33,-0.29,65.66666667,10,b
Kei Kamara,COL,F,9600,1.63,1,0,6,2,1,3,46,0,1,0,0,0,0,7.42,13.54,0.8,9.4,0.09,0.11,0.2,7,0.03,0.04,13.1,4.8,77,0.08,1.02,0.33,0.34,58,0.05,0.51,0.27,1.33,-0.41,90,14.25,b
Jeremy Kelly,COL,D,3200,0.31,0,1,0,0,0,1,29,0,0,1,0,0,0,8.29,27.58,0,9.4,0.00,0.00,0.3,7,0.04,0.06,13.1,4.8,77,0.00,0.00,0.00,0.00,58,0.02,0.17,0.27,1.33,-0.69,,5.6,b
Collen Warner,COL,M,3000,1.64,0,0,0,0,0,2,68,1,6,3,0,0,0,2.65,2.65,0,9.4,0.00,0.00,0,7,0.00,0.00,13.1,4.8,77,0.00,0.00,0.00,0.00,58,0.03,0.34,0.27,1.33,-0.94,67,4.666666667,b
Nicolas Benezet,COL,M,8000,0.18,0,0,0,0,0,1,16,0,0,0,0,0,0,7.43,7.43,0,9.4,0.00,0.00,0,7,0.00,0.00,13.1,4.8,77,0.00,0.00,0.00,0.00,58,0.02,0.17,0.27,1.33,-0.97,,3.2,b
Danny Wilson,COL,D,3000,3.92,0,0,1,0,1,3,225,1,4,4,3,0,0,3.49,3.49,0.1,9.4,0.01,0.01,0,7,0.00,0.00,13.1,4.8,77,0.01,0.17,0.00,0.00,58,0.05,0.51,0.27,1.33,-1.04,88.25,,b
Lalas Abubakar,COL,D,3200,5.00,1,0,1,1,0,2,280,2,5,1,6,2,0,2.62,4.02,0.3,9.4,0.03,0.04,0,7,0.00,0.00,13.1,4.8,77,0.01,0.17,1.00,0.17,58,0.03,0.34,0.27,1.33,-1.04,90,,b
William Yarbrough,COL,GK,5200,5.00,0,0,0,0,0,0,126,0,0,0,0,0,0,0.50,0.50,0,9.4,0.00,0.00,0,7,0.00,0.00,13.1,4.8,77,0.00,0.00,0.00,0.00,58,0.00,0.00,0.27,1.33,-1.04,90,,b
