Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,CrdR,Floor,FPTS,xG,Team_xG,xG_Share,Proj_Gls,xA,Team_xA,xA_Share,Proj_Ast,Team_Shot_Proj,Team_SoT_Proj,Team_Shots,Shot_Share,Proj_Shots,SoT%,Proj_SoT,Team_KP,KP_Share,Proj_KP,Team_Odds,Team_Goal_Odds,Pts_w_StartMins,Start_Mins,Sub_Mins,Starting,Player2
Nicolas Mezquida,COL,M/F,12400,0.655555556,0,1,6,1,3,3,54,1,3,0,0,0,0,19.34237288,28.49491525,0.2,7.9,0.025316456,0.054556962,0.5,5.4,0.092592593,0.136392405,15.53243974,5.265497074,66,0.090909091,1.412039977,0.166666667,0.235339996,58,0.051724138,0.706019988,0.5556,2.155,4.253324012,0,11.8,b,Nicolas Mezquida
Andres Rios,SJ,F,5400,2.977777778,0,0,7,0,0,2,57,9,5,1,0,1,0,5.923880597,5.420149254,0.4,6.9,0.057971014,0.05884058,0.1,3.7,0.027027027,0.014710145,11.50012171,3.714539313,59,0.118644068,1.36442122,0,0,38,0.052631579,0.389834634,0.2222,1.015,4.153758342,64.66666667,37,y,Andres Rios
Lalas Abubakar,COL,D,3600,4,1,0,1,1,0,2,227,1,3,4,7,2,0,3.885,5.635,0.3,7.9,0.037974684,0.081835443,0,5.4,0,0,15.53243974,5.265497074,66,0.015151515,0.235339996,1,0.235339996,58,0.034482759,0.470679992,0.5556,2.155,3.894714415,90,0,y,Lalas Abubakar
She Salinas,SJ,D,5800,3.344444444,0,0,1,0,8,6,105,7,4,4,2,0,0,7.38538206,7.38538206,0,6.9,0,0,0.3,3.7,0.081081081,0.044130435,11.50012171,3.714539313,59,0.016949153,0.194917317,0,0,38,0.157894737,1.169503903,0.2222,1.015,3.74614735,76.33333333,36,b,She Salinas
Tommy Thompson,SJ,D,3600,1.966666667,0,0,2,0,0,0,69,6,0,1,1,0,0,5.53220339,5.53220339,0.3,6.9,0.043478261,0.044130435,0,3.7,0,0,11.50012171,3.714539313,59,0.033898305,0.389834634,0,0,38,0,0,0.2222,1.015,3.690799999,57,30,y,Tommy Thompson
Florian Jungwirth,SJ,D,3000,4.711111111,0,0,2,1,1,0,229,5,9,7,5,2,0,3.880188679,3.243396226,0.2,6.9,0.028985507,0.02942029,0,3.7,0,0,11.50012171,3.714539313,59,0.033898305,0.389834634,0.5,0.194917317,38,0,0,0.2222,1.015,3.33495485,84.8,0,y,Florian Jungwirth
Judson,SJ,M,3200,4.066666667,0,0,1,0,1,1,204,2,12,8,4,0,0,3.142622951,3.142622951,0,6.9,0,0,0,3.7,0,0,11.50012171,3.714539313,59,0.016949153,0.194917317,0,0,38,0.026315789,0.194917317,0.2222,1.015,2.841842831,83.25,33,y,Judson
Nick Lima,SJ,D,5200,2,0,0,2,1,8,3,76,2,3,3,1,2,0,8.56,7.06,0.1,6.9,0.014492754,0.014710145,0.8,3.7,0.216216216,0.117681159,11.50012171,3.714539313,59,0.033898305,0.389834634,0.5,0.194917317,38,0.078947368,0.584751951,0.2222,1.015,2.428692309,76.5,9,b,Nick Lima
Nicolas Benezet,COL,M,7800,0.577777778,0,0,0,0,5,3,50,0,1,1,0,0,0,13.84615385,13.84615385,0,7.9,0,0,0.2,5.4,0.037037037,0.054556962,15.53243974,5.265497074,66,0,0,0,0,58,0.051724138,0.706019988,0.5556,2.155,2.033361761,0,10.4,b,Nicolas Benezet
Eric Calvillo,SJ,M,4200,1.311111111,0,0,2,1,1,1,50,2,0,0,0,0,0,5.872881356,5.872881356,0.4,6.9,0.057971014,0.05884058,0,3.7,0,0,11.50012171,3.714539313,59,0.033898305,0.389834634,0.5,0.194917317,38,0.026315789,0.194917317,0.2222,1.015,1.799219133,63,13.75,b,Eric Calvillo
Jeremy Kelly,COL,D,3800,0.522222222,0,1,1,0,0,1,49,0,0,1,0,0,0,7.621276596,19.1106383,0.1,7.9,0.012658228,0.027278481,0.3,5.4,0.055555556,0.081835443,15.53243974,5.265497074,66,0.015151515,0.235339996,0,0,58,0.017241379,0.235339996,0.5556,2.155,1.630477461,0,9.4,b,Jeremy Kelly
Tanner Beason,SJ,D,3400,1,0,0,1,0,0,0,43,0,1,0,2,0,0,2.36,2.36,0,6.9,0,0,0,3.7,0,0,11.50012171,3.714539313,59,0.016949153,0.194917317,0,0,38,0,0,0.2222,1.015,1.554917317,90,0,y,Tanner Beason
Paul Marie,SJ,D,3200,1.966666667,0,0,1,0,2,1,88,1,3,3,3,1,0,4.657627119,3.894915254,0,6.9,0,0,0.2,3.7,0.054054054,0.02942029,11.50012171,3.714539313,59,0.016949153,0.194917317,0,0,38,0.026315789,0.194917317,0.2222,1.015,0.566356373,59,0,b,Paul Marie
Collen Warner,COL,M,3200,1.644444444,0,0,0,0,0,2,68,1,6,3,0,0,0,2.651351351,2.651351351,0,7.9,0,0,0,5.4,0,0,15.53243974,5.265497074,66,0,0,0,0,58,0.034482759,0.470679992,0.5556,2.155,0.545094407,67,4.666666667,b,Collen Warner
Drew Moor,COL,D,3200,1,0,0,0,0,0,2,66,1,0,0,0,0,0,4.32,4.32,0,7.9,0,0,0,5.4,0,0,15.53243974,5.265497074,66,0,0,0,0,58,0.034482759,0.470679992,0.5556,2.155,0.470679992,90,0,b,Drew Moor
Danny Wilson,COL,D,3800,2.633333333,0,0,0,0,1,2,133,1,2,3,3,0,0,3.744303797,3.744303797,0,7.9,0,0,0,5.4,0,0,15.53243974,5.265497074,66,0,0,0,0,58,0.034482759,0.470679992,0.5556,2.155,0.470679992,79,0,b,Danny Wilson
Danny Hoesen,SJ,F,8000,0.377777778,0,0,1,0,0,0,3,1,0,0,0,0,0,5.452941176,5.452941176,0,6.9,0,0,0,3.7,0,0,11.50012171,3.714539313,59,0.016949153,0.194917317,0,0,38,0,0,0.2222,1.015,0.194917317,34,0,b,Danny Hoesen
Luis Felipe,SJ,M,3200,1,0,0,0,0,0,0,41,0,0,2,1,0,0,3.32,3.32,0,6.9,0,0,0,3.7,0,0,11.50012171,3.714539313,59,0,0,0,0,38,0,0,0.2222,1.015,0,90,0,b,Luis Felipe
