Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,CrdR,Floor,FPTS,xG,Team_xG,xG_Share,Proj_Gls,xA,Team_xA,xA_Share,Proj_Ast,Team_Shot_Proj,Team_SoT_Proj,Team_Shots,Shot_Share,Proj_Shots,SoT%,Proj_SoT,Team_KP,KP_Share,Proj_KP,Team_Odds,Team_Goal_Odds,Pts_w_StartMins,Start_Mins,Sub_Mins,Starting,Player2
Jake Nerwinski,VAN,D,4400,3.4,1,0,2,1,8,1,155,1,4,2,3,0,0,4.470588235,7.411764706,0.2,5.9,0.033898305,0.01779661,0,4.1,0,0,10.63853809,3.446886341,47,0.042553191,0.452703749,0.5,0.226351874,35,0.028571429,0.226351874,0.2222,0.525,4.377491246,90,42,y,Jake Nerwinski
Derek Cornelius,VAN,D,3000,5,0,0,5,1,0,0,168,6,5,5,5,1,0,4.072,3.772,0.3,5.9,0.050847458,0.026694915,0,4.1,0,0,10.63853809,3.446886341,47,0.106382979,1.131759371,0.2,0.226351874,35,0,0,0.2222,0.525,4.197060398,90,0,y,Derek Cornelius
Ali Adnan Kadhim,VAN,D,6800,3.8,0,1,4,2,16,4,122,5,4,4,4,2,0,8.589473684,9.378947368,0.1,5.9,0.016949153,0.008898305,0.6,4.1,0.146341463,0.053389831,10.63853809,3.446886341,47,0.085106383,0.905407497,0.5,0.452703749,35,0.114285714,0.905407497,0.2222,0.525,3.706524987,81,18,b,Ali Adnan Kadhim
Eddie Segura,LAFC,D,4800,4.266666667,0,0,1,0,0,1,258,2,5,4,8,0,0,3.4359375,3.4359375,0.1,8.5,0.011764706,0.037176471,0,6.7,0,0,20.87277061,8.349108245,78,0.012820513,0.267599623,0,0,53,0.018867925,0.267599623,0.8095,3.16,3.701065515,84.75,45,y,Eddie Segura
Adrien Perez,LAFC,F,8800,1.077777778,0,0,2,0,0,0,28,1,2,3,0,0,0,5.158762887,5.158762887,0.5,8.5,0.058823529,0.185882353,0,6.7,0,0,20.87277061,8.349108245,78,0.025641026,0.535199246,0,0,53,0,0,0.8095,3.16,3.284022776,0,24.25,b,Adrien Perez
Theo Bair,VAN,F,3400,2.088888889,1,0,2,1,1,0,30,0,2,4,0,0,0,3.494680851,8.281914894,0.1,5.9,0.016949153,0.008898305,0,4.1,0,0,10.63853809,3.446886341,47,0.042553191,0.452703749,0.5,0.226351874,35,0,0,0.2222,0.525,2.201372007,62.66666667,0,y,Theo Bair
Leonard Owusu,VAN,M,3000,2.622222222,0,1,3,0,0,1,83,3,3,3,1,0,0,4.065254237,6.353389831,0.2,5.9,0.033898305,0.01779661,0.1,4.1,0.024390244,0.008898305,10.63853809,3.446886341,47,0.063829787,0.679055623,0,0,35,0.028571429,0.226351874,0.2222,0.525,2.002187158,72,30.66666667,b,Leonard Owusu
Eduard Atuesta,LAFC,M,5600,0.622222222,0,0,2,0,1,0,47,2,1,1,2,0,0,11.475,11.475,0.2,8.5,0.023529412,0.074352941,0,6.7,0,0,20.87277061,8.349108245,78,0.025641026,0.535199246,0,0,53,0,0,0.8095,3.16,1.278728658,0,11.2,y,Eduard Atuesta
Ranko Veselinovic,VAN,D,3000,2.511111111,0,0,1,0,0,0,64,1,1,2,0,1,0,1.903539823,1.30619469,0,5.9,0,0,0,4.1,0,0,10.63853809,3.446886341,47,0.021276596,0.226351874,0,0,35,0,0,0.2222,0.525,0.982989042,75,0.5,y,Ranko Veselinovic
Janio Bikel,VAN,M,3000,1.144444444,0,0,0,0,0,0,41,1,1,2,0,1,0,2.900970874,1.590291262,0,5.9,0,0,0,4.1,0,0,10.63853809,3.446886341,47,0,0,0,0,35,0,0,0.2222,0.525,0.91,51.5,0,y,Janio Bikel
Bryce Duke,LAFC,M,3200,0.711111111,0,0,0,0,5,1,26,2,2,2,3,0,0,13.3875,13.3875,0,8.5,0,0,0,6.7,0,0,20.87277061,8.349108245,78,0,0,0,0,53,0.018867925,0.267599623,0.8095,3.16,0.899943373,45,4.75,b,Bryce Duke
Mohamed El Monir,LAFC,D,5000,0.233333333,0,0,0,0,3,1,16,0,1,1,0,0,0,16.8,16.8,0,8.5,0,0,0,6.7,0,0,20.87277061,8.349108245,78,0,0,0,0,53,0.018867925,0.267599623,0.8095,3.16,0.851599623,0,4.2,b,Mohamed El Monir
Ryan Raposo,VAN,M,3000,0.555555556,0,0,0,0,1,1,17,3,1,0,0,1,0,8.172,5.472,0,5.9,0,0,0.3,4.1,0.073170732,0.026694915,10.63853809,3.446886341,47,0,0,0,0,35,0.028571429,0.226351874,0.2222,0.525,0.794521366,0,10,b,Ryan Raposo
Tosaint Ricketts,VAN,F,5800,0.377777778,0,0,1,0,0,0,0,1,0,1,0,0,0,7.941176471,7.941176471,0,5.9,0,0,0,4.1,0,0,10.63853809,3.446886341,47,0.021276596,0.226351874,0,0,35,0,0,0.2222,0.525,0.626351874,0,6.8,b,Tosaint Ricketts
Patrick Metcalfe,VAN,M,3000,0.5,0,0,0,0,0,1,19,0,1,0,1,0,0,2.76,2.76,0,5.9,0,0,0.1,4.1,0.024390244,0.008898305,10.63853809,3.446886341,47,0,0,0,0,35,0.028571429,0.226351874,0.2222,0.525,0.279741705,45,0,b,Patrick Metcalfe
Christian Torres,LAFC,F,5400,0.155555556,0,0,0,0,1,0,7,0,0,0,0,0,0,5.4,5.4,0,8.5,0,0,0,6.7,0,0,20.87277061,8.349108245,78,0,0,0,0,53,0,0,0.8095,3.16,0.168,0,2.8,b,Christian Torres
Andy Rose,VAN,M,3000,3.044444444,0,1,0,0,0,0,131,0,1,0,1,0,0,0.860583942,2.831386861,0,5.9,0,0,0,4.1,0,0,10.63853809,3.446886341,47,0,0,0,0,35,0,0,0.2222,0.525,0.019124088,90,2,b,Andy Rose
Jordan Harvey,LAFC,D,3200,1,0,0,0,0,0,0,32,1,4,0,3,1,0,1.14,-0.36,0,8.5,0,0,0,6.7,0,0,20.87277061,8.349108245,78,0,0,0,0,53,0,0,0.8095,3.16,0,90,0,b,Jordan Harvey
Erik Godoy,VAN,D,3000,1.1,0,0,0,0,0,0,36,2,1,0,4,0,0,3.836363636,3.836363636,0,5.9,0,0,0,4.1,0,0,10.63853809,3.446886341,47,0,0,0,0,35,0,0,0.2222,0.525,0,49.5,0,b,Erik Godoy
